id,name,position,minutes,starts,chance_next,influence,creativity,threat,ict,bps,cost,goals,assists,xG,xA,xGI
16,Saka,3,2218,25,100,627.0,847.6,828.0,230.6,570,100,7,10,7.57,7.16,14.73
17,Ødegaard,3,1363,16,100,311.8,564.4,168.0,104.4,306,78,1,7,1.25,3.65,4.9
18,Madueke,3,1205,16,100,257.4,352.8,404.0,101.3,254,68,3,1,1.23,2.86,4.09
19,Martinelli,3,1065,11,100,204.6,202.2,390.0,79.0,195,68,1,5,4.12,1.27,5.39
20,Trossard,3,1997,21,100,494.0,545.5,541.0,158.3,445,66,6,6,5.6,3.59,9.18
21,Rice,3,3093,35,100,827.2,1027.4,298.0,215.4,790,72,4,9,3.15,7.32,10.47
22,Merino,3,1024,10,100,304.4,191.8,244.0,73.6,236,53,4,3,3.36,1.45,4.81
23,Fábio Vieira,3,0,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0.0,0.0,0.0
24,Nørgaard,3,101,1,100,23.4,5.5,10.0,4.0,28,51,0,0,0.08,0.04,0.12
25,Nwaneri,3,165,0,0,8.6,22.5,24.0,5.4,20,50,0,0,0.23,0.08,0.31
26,Zubimendi,3,2991,34,100,603.2,385.1,271.0,126.2,604,49,5,1,2.84,2.27,5.11
28,Kabia,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
29,Sambi,3,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0.0,0.0
30,Havertz,4,577,7,100,152.6,134.6,210.0,49.9,143,73,2,3,3.31,0.64,3.95
31,G.Jesus,4,418,3,100,141.8,54.3,281.0,47.5,92,64,3,0,2.71,0.26,2.97
266,Eze,3,1885,22,100,393.4,305.7,455.0,115.1,439,73,7,3,5.18,2.66,7.84
666,Gyökeres,4,2217,26,100,539.6,271.7,772.0,157.5,474,91,14,1,12.26,1.94,14.19
700,Dowman,3,152,1,100,45.2,55.5,65.0,16.6,51,42,1,1,1.19,0.3,1.49
711,Harriman-Annous,3,0,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0.0,0.0,0.0
47,Rogers,3,3280,37,100,746.2,706.2,871.0,232.0,605,73,10,8,6.84,4.32,11.16
48,Tielemans,3,1857,21,100,432.0,513.6,184.0,113.1,417,59,0,4,1.14,3.26,4.4
49,Bailey,3,450,3,100,71.2,160.4,69.0,30.1,69,55,0,2,0.5,1.46,1.96
50,Buendía,3,1753,21,100,427.0,402.1,398.0,121.4,382,53,6,2,3.38,2.23,5.61
51,Iling Jr,3,0,0,0,0.0,0.0,0.0,0.0,0,55,0,0,0.0,0.0,0.0
53,Malen,3,640,5,0,183.4,99.7,290.0,56.3,161,51,4,2,4.03,0.35,4.38
54,McGinn,3,2136,28,100,459.8,605.3,309.0,137.3,443,53,5,4,3.0,4.11,7.11
55,Barkley,3,844,7,100,227.8,162.3,191.0,58.1,221,48,3,2,1.58,1.26,2.84
56,Barrenechea,3,0,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0.0,0.0,0.0
