id,minutes_5,position,avg_points_5,avg_influence_5,avg_creativity_5,bps_5,clean_sheets_5,saves_5,goals_conceded_5,penalties_saved_5
1,72.0,1,6.2,12.080000000000002,0.02,20.4,4,7,0,0
2,18.0,1,0.4,3.96,0.0,2.2,0,2,1,0
3,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
4,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
32,72.0,1,2.6,24.880000000000003,2.0,13.6,0,15,7,0
33,18.0,1,0.4,4.2,0.0,2.0,0,2,1,0
34,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
35,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
688,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
703,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
757,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
183,54.0,1,1.4,15.36,2.0,7.8,0,10,4,0
184,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
185,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
470,36.0,1,1.2,18.64,0.0,7.8,0,13,4,0
66,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
67,90.0,1,3.8,18.4,0.0,16.2,2,11,4,0
68,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
69,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
70,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
782,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
806,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
101,90.0,1,4.2,36.2,0.0,18.2,1,24,8,0
102,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
103,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
104,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
105,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
138,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
139,90.0,1,3.6,19.2,0.0,12.6,2,11,7,0
140,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
141,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
142,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
220,67.2,1,1.4,19.64,0.0,6.6,0,12,9,0
221,22.8,1,0.6,4.04,0.0,3.0,0,2,1,0
222,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
223,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
789,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
803,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
253,90.0,1,1.4,20.240000000000002,0.0,5.0,0,15,12,0
254,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
255,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
287,90.0,1,1.6,19.88,2.02,6.6,0,9,11,0
288,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
289,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
630,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
314,90.0,1,4.2,21.04,0.0,20.2,2,14,5,0
315,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
664,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
786,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
339,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0
