id,minutes_5,position,avg_points_5,avg_influence_5,avg_creativity_5,bps_5,goals_scored_5,assists_5
16,44.6,3,4.8,17.64,24.34,14.6,1,2
17,40.6,3,2.0,8.8,15.38,8.2,0,1
18,43.6,3,3.2,11.08,15.180000000000001,11.8,1,0
19,25.6,3,1.6,6.8,8.74,6.4,0,1
20,54.0,3,3.6,13.879999999999999,13.4,16.0,1,1
21,66.6,3,3.0,11.84,10.779999999999998,11.2,0,0
22,5.6,3,0.2,0.0,0.96,-0.4,0,0
23,0.0,3,0.0,0.0,0.0,0.0,0,0
24,9.0,3,0.2,1.52,1.02,1.8,0,0
25,0.0,3,0.0,0.0,0.0,0.0,0,0
26,47.2,3,2.0,7.840000000000001,8.8,9.6,0,0
28,0.0,3,0.0,0.0,0.0,0.0,0,0
29,0.0,3,0.0,0.0,0.0,0.0,0,0
30,34.6,4,3.4,16.2,16.720000000000002,14.0,1,2
31,20.0,4,1.2,6.959999999999999,3.5799999999999996,3.8,1,0
266,56.4,3,3.2,9.64,8.66,13.8,1,0
666,46.6,4,4.2,19.92,11.459999999999999,16.6,2,1
700,14.6,3,0.8,0.8,3.4200000000000004,1.6,0,0
711,0.0,3,0.0,0.0,0.0,0.0,0,0
47,72.0,3,3.4,16.08,15.639999999999997,12.4,1,1
48,71.8,3,2.2,13.2,12.059999999999999,15.6,0,0
49,23.2,3,1.6,3.2399999999999998,7.5200000000000005,5.4,0,1
50,53.6,3,3.4,15.88,13.52,16.6,1,0
51,0.0,3,0.0,0.0,0.0,0.0,0,0
53,0.0,3,0.0,0.0,0.0,0.0,0,0
54,50.0,3,2.8,16.2,22.0,14.6,1,1
55,61.8,3,3.4,12.919999999999998,9.440000000000001,10.6,1,1
56,0.0,3,0.0,0.0,0.0,0.0,0,0
57,0.0,3,0.0,0.0,0.0,0.0,0,0
58,0.0,3,0.0,0.0,0.0,0.0,0,0
59,3.4,3,0.2,0.72,0.3,1.0,0,0
60,0.0,3,0.0,0.0,0.0,0.0,0,0
61,0.0,3,0.0,0.0,0.0,0.0,0,0
62,0.0,3,0.0,0.0,0.0,0.0,0,0
63,0.0,3,0.0,0.0,0.0,0.0,0,0
64,75.8,4,8.0,40.400000000000006,8.280000000000001,33.0,5,1
65,0.0,4,0.0,0.0,0.0,0.0,0,0
389,0.0,3,0.0,0.0,0.0,0.0,0,0
456,20.2,3,0.8,1.08,1.54,3.0,0,0
699,19.8,3,0.8,5.76,3.4200000000000004,6.6,0,0
702,0.0,3,0.0,0.0,0.0,0.0,0,0
754,0.0,3,0.0,0.0,0.0,0.0,0,0
792,0.0,3,0.0,0.0,0.0,0.0,0,0
808,13.8,4,0.4,0.04,0.26,0.4,0,0
200,87.4,3,3.6,15.520000000000001,13.780000000000001,15.6,1,1
201,0.0,3,0.0,0.0,0.0,0.0,0,0
202,3.2,3,0.6,1.24,3.84,2.2,0,0
203,0.0,3,0.0,0.0,0.0,0.0,0,0
204,0.0,3,0.0,0.0,0.0,0.0,0,0
205,0.0,3,0.0,0.0,0.0,0.0,0,0
206,3.6,3,0.4,1.28,5.64,2.4,0,0
207,47.6,3,1.4,9.8,18.82,9.2,0,1
208,0.0,3,0.0,0.0,0.0,0.0,0,0
209,33.8,3,1.0,3.6,2.9400000000000004,2.2,0,0
210,81.2,3,3.8,16.56,23.86,14.6,1,1
211,0.0,3,0.0,0.0,0.0,0.0,0,0
212,0.0,3,0.0,0.0,0.0,0.0,0,0
213,0.0,3,0.0,0.0,0.0,0.0,0,0
214,0.6,3,0.2,0.0,0.0,0.4,0,0
215,81.8,4,3.8,15.680000000000001,5.6,13.4,2,0
216,13.8,4,0.8,0.5199999999999999,1.02,2.0,0,0
217,7.8,4,0.4,0.24,0.02,0.8,0,0
218,1.0,4,0.0,0.4,0.26,0.2,0,0
219,0.0,4,0.0,0.0,0.0,0.0,0,0
614,36.8,3,1.8,7.919999999999999,6.76,10.4,0,0
676,44.4,3,1.8,7.08,6.26,9.8,0,1
680,4.4,4,0.4,0.4800000000000001,2.22,1.2,0,0
722,57.2,3,2.8,13.64,7.9,11.4,0,0
776,0.0,3,0.0,0.0,0.0,0.0,0,0
784,0.0,3,0.0,0.0,0.0,0.0,0,0
820,0.0,3,0.0,0.0,0.0,0.0,0,0
81,6.2,3,0.2,0.27999999999999997,0.2,0.0,0,0
84,86.4,3,3.8,20.52,37.62,20.0,1,0
85,62.4,3,3.0,14.959999999999999,12.52,11.8,0,1
86,20.6,3,1.8,5.199999999999999,8.88,4.0,0,1
87,26.8,3,0.2,3.6799999999999997,5.58,4.2,0,0
88,0.4,3,0.4,0.16,0.1,1.2,0,0
89,0.0,3,0.0,0.0,0.0,0.0,0,0
90,72.0,3,3.0,12.120000000000001,18.78,13.4,0,0
91,0.0,3,0.0,0.0,0.0,0.0,0,0
92,0.0,3,0.0,0.0,0.0,0.0,0,0
93,0.0,3,0.0,0.0,0.0,0.0,0,0
94,0.0,3,0.0,0.0,0.0,0.0,0,0
95,0.0,3,0.0,0.0,0.0,0.0,0,0
96,0.0,3,0.0,0.0,0.0,0.0,0,0
97,74.2,4,2.2,4.24,10.860000000000001,8.8,0,1
98,7.8,4,0.8,3.88,2.4,4.4,0,0
99,0.0,4,0.0,0.0,0.0,0.0,0,0
100,73.2,4,5.2,22.96,10.379999999999999,19.2,3,0
391,7.4,3,0.4,0.8,0.58,1.4,0,0
687,0.0,3,0.0,0.0,0.0,0.0,0,0
697,10.0,3,0.8,1.56,2.6,1.4,0,0
756,0.0,3,0.0,0.0,0.0,0.0,0,0
799,0.0,3,0.0,0.0,0.0,0.0,0,0
801,11.6,3,0.6,2.12,5.340000000000001,3.0,0,0
807,68.2,3,5.6,23.8,7.7,17.8,3,0
27,3.6,3,1.0,4.119999999999999,2.96,3.2,0,1
83,76.2,3,5.0,19.720000000000002,13.719999999999999,14.2,2,1
120,71.6,3,3.0,9.16,1.24,6.2,1,0
121,69.0,3,4.0,18.839999999999996,26.779999999999994,17.2,1,0
122,0.0,3,0.0,0.0,0.0,0.0,0,0
123,0.0,3,0.0,0.0,0.0,0.0,0,0
124,19.4,3,0.2,1.72,4.46,2.2,0,0
125,36.2,3,0.8,4.279999999999999,7.640000000000001,6.8,0,0
126,82.8,3,4.2,20.2,23.28,17.2,1,0
127,0.0,3,0.0,0.0,0.0,0.0,0,0
128,0.0,3,0.0,0.0,0.0,0.0,0,0
129,69.2,3,3.4,15.040000000000001,5.859999999999999,14.4,0,1
130,0.0,3,0.0,0.0,0.0,0.0,0,0
131,0.0,3,0.0,0.0,0.0,0.0,0,0
132,0.0,3,0.0,0.0,0.0,0.0,0,0
133,0.0,3,0.0,0.0,0.0,0.0,0,0
134,0.0,3,0.0,0.0,0.0,0.0,0,0
136,90.0,4,2.6,17.0,10.86,7.0,1,0
137,0.0,4,0.0,0.0,0.0,0.0,0,0
