id,minutes_5,position,avg_points_5,avg_influence_5,avg_creativity_5,bps_5,clean_sheets_5,goals_conceded_5,tackles_5,defensive_contribution_5
5,81.0,2,6.4,19.720000000000002,3.8600000000000003,23.4,4,1,4,38
6,72.0,2,5.2,15.719999999999999,6.26,21.6,4,0,3,27
7,50.2,2,3.2,7.720000000000001,10.879999999999999,10.0,2,0,1,7
8,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
9,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
10,59.2,2,3.2,5.6,5.360000000000001,13.8,2,1,2,6
11,39.8,2,2.6,4.319999999999999,5.000000000000001,10.6,2,0,0,7
13,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
14,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
15,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
662,46.4,2,2.2,10.52,7.1,7.4,1,1,6,18
725,39.6,2,2.4,9.72,3.1000000000000005,9.2,1,1,6,21
759,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
36,78.8,2,1.8,17.0,16.62,9.2,0,7,13,24
37,39.2,2,1.4,6.8,6.56,4.2,0,3,3,11
38,54.0,2,0.8,9.68,0.7,6.4,0,5,1,15
39,51.6,2,1.6,10.319999999999999,9.459999999999999,3.6,0,6,7,25
40,54.0,2,1.0,10.319999999999999,1.6,3.4,0,5,1,21
41,39.4,2,1.2,7.919999999999999,1.0,3.8,0,3,2,11
42,9.0,2,0.2,2.92,0.1,1.0,0,1,4,9
43,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
44,49.0,2,1.2,4.799999999999999,1.08,2.8,0,4,6,12
45,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
46,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
701,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
710,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
719,56.0,2,1.0,7.56,1.54,5.0,0,5,2,16
768,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
781,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
186,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
187,90.0,2,1.6,12.680000000000001,9.52,8.8,0,8,11,25
188,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
189,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
190,36.0,2,1.4,11.6,2.3200000000000003,4.8,0,4,4,25
191,70.2,2,2.4,21.52,0.24,6.2,0,7,6,44
192,30.8,2,1.0,8.16,0.82,2.0,0,4,12,23
193,50.8,2,1.0,10.72,3.3600000000000003,5.4,0,5,1,20
194,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
195,59.0,2,1.0,12.76,12.559999999999999,6.0,0,4,5,18
196,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
197,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
198,54.0,2,1.4,10.24,0.26,4.2,0,4,2,23
199,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
71,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
72,90.0,2,6.4,29.0,9.16,21.4,2,4,6,47
73,53.6,2,3.8,11.08,3.46,12.4,2,1,3,17
74,90.0,2,5.8,28.8,26.3,24.8,2,4,16,33
75,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
76,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
77,90.0,2,4.2,19.72,8.78,14.6,2,4,8,51
78,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
79,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
80,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
685,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
713,36.0,2,1.2,5.64,4.4399999999999995,5.4,1,2,6,10
721,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
106,90.0,2,3.0,23.28,4.9,11.4,1,8,6,47
107,89.6,2,3.8,14.879999999999999,9.66,13.4,1,8,4,17
108,36.2,2,1.2,8.64,0.16,3.0,0,5,2,24
109,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
110,90.0,2,1.8,12.279999999999998,7.840000000000001,5.4,1,8,7,20
111,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
112,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
113,55.6,2,2.8,15.4,2.76,13.2,1,3,7,30
114,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
115,0.0,2,0.0,0.0,0.0,0.0,0,0,0,0
116,18.2,2,0.8,3.7600000000000002,0.18,2.2,0,1,3,9
