id,minutes,position,GW,avg_points_5,points,avg_influence_5,avg_creativity_5,bps,goals_scored_5,assists_5
16,37.4,3,6,2.0,2,11.6,15.819999999999999,8.2,1,0
16,33.2,3,7,1.8,8,10.08,14.819999999999999,8.8,1,0
16,40.8,3,8,2.2,7,9.76,13.459999999999999,7.8,1,0
16,58.8,3,9,3.6,3,15.52,29.52,13.4,1,0
16,71.8,3,10,4.2,3,15.959999999999999,29.9,15.0,1,0
16,80.8,3,11,4.6,12,17.32,28.3,14.2,1,0
16,85.0,3,12,6.6,4,26.360000000000003,33.36,20.2,2,0
16,85.0,3,13,5.8,5,22.080000000000002,34.1,19.0,1,0
16,85.0,3,14,5.4,6,20.72,21.360000000000003,17.6,1,1
16,77.8,3,15,6.0,4,27.880000000000003,21.34,20.4,2,1
16,75.4,3,16,6.2,11,27.919999999999998,25.74,23.4,2,2
16,75.4,3,17,6.0,3,22.32,30.3,25.8,1,4
16,75.4,3,18,5.8,7,22.04,28.82,26.0,1,4
16,75.4,3,19,6.2,6,24.880000000000003,35.96,27.8,1,4
16,86.0,3,20,6.2,4,17.28,38.2,25.4,0,5
16,75.0,3,21,6.2,3,18.96,36.14,25.6,0,5
16,72.4,3,22,4.6,1,15.6,24.999999999999996,16.4,0,3
16,61.0,3,23,4.2,2,16.16,30.779999999999994,15.4,0,3
16,61.0,3,24,3.2,0,12.64,29.419999999999998,13.2,0,2
16,44.6,3,25,2.0,0,12.64,26.82,11.2,0,1
16,40.0,3,26,1.2,1,8.440000000000001,19.619999999999997,7.4,0,0
16,28.6,3,27,0.8,12,7.520000000000001,18.919999999999998,6.6,0,0
16,36.4,3,28,3.0,5,14.080000000000002,13.339999999999998,11.6,1,0
16,36.4,3,29,3.6,2,14.0,10.5,11.4,1,1
16,54.4,3,30,4.0,9,14.84,13.38,13.2,1,1
16,72.4,3,31,5.8,3,21.64,13.6,18.2,2,1
16,86.4,3,32,6.2,0,23.48,19.5,20.2,2,1
16,72.0,3,33,3.8,0,13.16,15.320000000000002,12.8,1,1
16,54.0,3,34,2.8,1,9.52,9.059999999999999,9.2,1,0
16,37.8,3,35,2.6,11,9.120000000000001,8.260000000000002,7.8,1,0
16,28.8,3,36,3.0,2,13.360000000000003,17.9,12.0,1,1
16,26.6,3,37,2.8,10,12.760000000000002,20.6,9.2,1,1
16,44.6,3,38,4.8,0,17.64,24.34,14.6,1,2
17,32.8,3,6,1.6,4,4.16,6.42,5.4,0,0
17,16.4,3,7,1.4,1,4.4,5.64,5.4,0,1
17,14.8,3,8,1.4,0,4.72,8.059999999999999,5.2,0,1
17,10.8,3,9,1.2,0,4.4399999999999995,7.619999999999999,4.6,0,1
17,7.4,3,10,1.0,0,4.4399999999999995,6.58,4.0,0,1
17,7.4,3,11,1.0,0,4.4399999999999995,6.58,4.0,0,1
17,5.8,3,12,0.2,0,0.64,3.3,0.8,0,0
17,0.0,3,13,0.0,1,0.0,0.0,0.0,0,0
17,6.6,3,14,0.2,3,0.27999999999999997,0.5599999999999999,0.6,0,0
17,24.6,3,15,0.8,2,3.88,10.559999999999999,3.6,0,0
17,42.6,3,16,1.2,1,9.040000000000001,17.8,7.8,0,0
17,49.2,3,17,1.4,3,9.040000000000001,20.98,8.2,0,0
17,66.6,3,18,2.0,10,11.440000000000001,32.339999999999996,10.6,0,0
17,78.0,3,19,3.8,5,22.04,44.64,17.4,1,0
17,78.0,3,20,4.2,7,24.999999999999996,43.72,20.2,1,1
17,75.8,3,21,5.2,3,24.8,41.519999999999996,21.2,1,2
17,84.6,3,22,5.6,1,25.639999999999997,41.279999999999994,23.2,1,2
17,78.4,3,23,5.2,4,24.159999999999997,32.35999999999999,21.6,1,2
17,71.8,3,24,4.0,4,13.279999999999998,20.619999999999997,16.0,0,3
17,59.6,3,25,3.8,0,10.72,16.779999999999998,13.4,0,3
17,43.8,3,26,2.4,1,5.76,11.74,8.2,0,2
17,37.4,3,27,2.0,0,5.12,9.52,6.4,0,2
17,26.2,3,28,1.8,4,4.2,7.08,5.6,0,2
17,17.4,3,29,1.8,0,7.720000000000001,8.120000000000001,7.0,0,2
17,11.6,3,30,1.0,0,3.72,2.88,3.8,0,1
17,11.6,3,31,1.0,0,3.72,2.88,3.8,0,1
17,2.6,3,32,0.8,0,3.5200000000000005,2.16,3.2,0,1
17,2.6,3,33,0.8,2,3.5200000000000005,2.16,3.2,0,1
17,18.0,3,34,0.4,3,1.64,10.559999999999999,2.6,0,0
