id,name,position,minutes,starts,chance_next,influence,creativity,threat,ict,bps,cost,clean_sheets,goals_conceded,xGC
5,Gabriel,2,2750,30,100,824.0,128.5,298.0,125.0,724,73,18,20,22.01
6,Saliba,2,2614,30,100,552.6,201.0,90.0,84.3,581,63,15,20,20.41
7,Calafiori,2,1697,22,100,283.0,182.3,313.0,77.9,389,56,13,8,9.72
8,J.Timber,2,2452,28,100,499.0,402.6,352.0,125.7,532,60,13,20,17.45
9,Kiwior,2,0,0,0,0.0,0.0,0.0,0.0,0,54,0,0,0.0
10,Lewis-Skelly,2,697,5,0,73.2,74.6,29.0,17.6,110,50,2,8,9.01
11,White,2,699,9,100,154.8,133.4,54.0,34.3,181,51,5,6,8.68
13,Clarke,2,0,0,0,0.0,0.0,0.0,0.0,0,37,0,0,0.0
14,Kacurri,2,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0
15,Nichols,2,0,0,0,0.0,0.0,0.0,0.0,0,37,0,0,0.0
662,Mosquera,2,986,9,100,219.2,88.7,20.0,32.9,195,53,3,8,9.04
725,Hincapie,2,1787,20,100,453.6,184.7,72.0,70.9,335,51,5,19,17.53
759,Salmon,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
36,Cash,2,3016,34,100,643.0,510.7,221.0,137.5,450,46,8,38,45.45
37,Digne,2,1842,21,100,400.2,455.5,130.0,98.5,381,45,7,23,27.79
38,Konsa,2,3035,34,100,601.4,108.3,124.0,84.0,497,44,9,44,48.93
39,Maatsen,2,1590,17,0,336.6,373.4,231.0,94.3,242,42,2,27,26.64
40,Mings,2,1322,15,100,282.6,80.5,105.0,46.8,169,43,3,23,23.37
41,Pau,2,1673,18,100,321.8,47.1,79.0,45.1,280,43,5,19,22.81
42,A.García,2,83,1,100,17.8,3.2,2.0,2.3,12,39,0,3,2.74
43,Alex Moreno,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
44,Bogarde,2,1042,11,100,133.0,59.4,14.0,20.6,121,40,2,17,15.38
45,Sousa,2,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0
46,Yasin,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
701,Rowe,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
710,Patterson,2,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0
719,Lindelöf,2,942,11,100,167.8,36.6,22.0,22.7,124,45,1,15,15.93
768,Leon Routh,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
781,Carroll,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
186,Roberts,2,0,0,100,0.0,0.0,0.0,0.0,0,43,0,0,0.0
187,Walker,2,3095,35,100,506.0,237.2,28.0,77.4,242,44,4,66,67.53
188,Delcroix,2,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0
189,Dodgson,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
190,Ekdal,2,1539,17,0,372.0,55.8,88.0,51.7,159,38,2,34,31.03
191,Estève,2,2933,34,100,745.4,92.5,97.0,93.7,264,38,3,70,67.06
192,Hartman,2,1825,21,0,422.2,288.8,83.0,79.5,228,40,3,40,42.91
193,Humphreys,2,1574,17,100,379.0,135.6,101.0,61.4,210,39,2,33,35.3
194,Jordan,2,0,0,100,0.0,0.0,0.0,0.0,0,39,0,0,0.0
195,Lucas Pires,2,1405,15,100,247.0,294.6,117.0,65.6,127,38,1,30,28.19
196,Sambo,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
197,Sonne,2,164,1,0,44.8,18.1,30.0,9.2,20,38,0,4,3.79
198,Tuanzebe,2,1201,14,100,276.4,11.1,52.0,34.1,102,39,1,26,29.7
199,Worrall,2,496,5,100,147.4,1.5,19.0,17.0,40,38,0,11,11.68
71,Zabarnyi,2,0,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0.0
72,Senesi,2,3288,37,100,1114.4,367.8,201.0,168.6,571,52,11,53,54.77
73,Smith,2,1073,14,100,176.2,76.6,18.0,27.1,185,44,6,16,18.18
74,Truffert,2,3378,38,0,857.0,574.2,194.0,162.6,607,48,11,51,54.42
75,Akinmboni,2,0,0,100,0.0,0.0,0.0,0.0,0,38,0,0,0.0
76,Bevan,2,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0
77,Hill,2,2102,22,0,579.4,161.7,119.0,86.3,386,42,8,24,33.42
78,J.Araujo,2,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0
79,Mepham,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
80,Soler,2,34,0,100,1.8,2.5,2.0,0.6,2,39,0,2,1.62
685,Diakité,2,1275,15,100,267.0,54.3,22.0,34.4,164,41,4,27,22.47
713,A.Jimenez,2,2315,26,100,406.0,269.3,184.0,85.9,297,45,6,39,41.11
721,Milosavljević,2,367,4,100,98.4,13.9,10.0,12.2,63,44,1,6,4.42
106,Collins,2,2971,32,0,848.6,143.8,325.0,131.9,450,49,9,44,47.52
107,Lewis-Potter,2,1960,22,0,378.2,332.2,353.0,106.4,356,48,9,32,33.74
108,Ajer,2,1805,20,100,401.4,59.1,165.0,62.7,211,44,5,32,31.51
109,Henry,2,1322,14,100,151.6,82.0,35.0,26.9,144,43,4,22,23.91
110,Kayode,2,3258,37,100,613.8,470.2,130.0,121.7,494,46,10,49,52.65
111,Pinnock,2,318,4,100,88.6,1.2,33.0,12.3,53,42,1,5,3.7
112,Roerslev,2,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0
113,Van den Berg,2,2761,30,100,659.0,98.0,305.0,106.3,435,44,8,41,41.59
114,Arthur,2,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0
115,Fredrick,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
116,Hickey,2,679,8,100,101.4,17.1,43.0,16.0,105,40,2,9,9.03
117,Ji-soo,2,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0
118,Meghoma,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
819,Shield,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
823,Stephenson,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
824,McManus,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
143,Boscagli,2,799,9,0,215.6,82.2,12.0,31.1,171,42,3,10,10.87
144,Coppola,2,193,2,0,42.4,3.7,2.0,4.8,32,42,1,3,4.52
145,De Cuyper,2,1404,17,100,327.8,516.6,154.0,99.9,318,43,5,23,24.09
146,Dunk,2,2837,31,100,649.6,125.5,210.0,98.7,443,45,7,40,41.9
147,Estupiñan,2,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0
148,F.Kadıoğlu,2,3130,34,0,505.0,444.8,284.0,123.7,514,45,10,41,44.61
149,Igor,2,103,1,100,25.8,10.6,0.0,3.6,10,45,0,3,4.66
150,Lamptey,2,0,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0.0
151,Van Hecke,2,3210,36,100,980.6,240.4,295.0,152.0,575,47,10,44,46.27
152,Veltman,2,1047,9,100,247.0,80.5,68.0,39.6,176,43,2,13,17.27
153,Webster,2,0,0,100,0.0,0.0,0.0,0.0,0,44,0,0,0.0
154,Cashin,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
155,Slater,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
156,Tasker,2,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0
761,Simmonds,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
224,Cucurella,2,2706,31,100,562.8,577.8,309.0,145.1,468,61,9,39,41.45
225,James,2,1957,20,100,459.0,483.7,116.0,106.1,493,56,8,20,28.75
226,Chalobah,2,2780,31,100,719.2,111.2,160.0,99.1,516,54,9,40,40.83
227,Colwill,2,225,2,100,66.0,7.6,6.0,8.0,30,47,0,4,3.36
228,Gusto,2,2255,26,100,443.6,448.5,205.0,109.8,406,48,7,36,37.13
229,B.Badiashile,2,470,6,100,102.8,7.9,2.0,11.4,48,44,0,10,7.41
230,Fofana,2,1718,20,0,463.6,65.6,74.0,60.4,288,44,4,25,25.81
231,M.Sarr,2,100,1,100,6.4,0.1,7.0,1.3,4,45,0,3,1.63
232,Tosin,2,788,8,100,240.4,33.3,19.0,29.3,130,40,2,14,13.25
233,Acheampong,2,657,8,100,132.6,40.9,70.0,24.4,118,37,2,13,15.66
234,Anselmino,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
672,Hato,2,1139,12,100,233.2,114.9,36.0,38.4,93,46,0,27,18.5
256,Muñoz,2,2400,29,100,595.0,396.6,404.0,139.5,469,59,10,33,34.28
257,Lacroix,2,3085,35,100,822.0,106.4,316.0,124.3,529,52,11,47,44.04
258,Mitchell,2,3253,36,0,649.0,467.3,241.0,136.0,498,50,12,47,49.78
259,Sosa,2,99,0,100,12.6,24.1,8.0,4.5,9,48,0,2,0.9
261,Richards,2,2825,31,100,727.2,159.6,185.0,107.6,453,44,11,42,41.19
262,Chadi Riad,2,550,6,100,117.8,23.9,41.0,18.3,84,40,1,8,9.09
263,Clyne,2,592,7,100,105.2,55.0,33.0,19.2,50,38,0,12,10.44
264,Holding,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
265,Kporha,2,0,0,100,0.0,0.0,0.0,0.0,0,40,0,0,0.0
723,Canvot,2,1331,14,100,362.4,63.8,56.0,48.1,216,45,5,23,23.84
773,Benamar,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
793,King,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
798,Imray,2,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0
290,Branthwaite,2,678,7,100,175.0,42.8,75.0,29.3,108,53,1,9,9.43
291,Tarkowski,2,3330,37,100,995.6,235.6,422.0,165.7,592,58,11,48,53.54
292,Mykolenko,2,2959,33,100,559.2,394.1,71.0,102.3,350,49,9,47,48.41
293,O'Brien,2,3118,35,100,582.8,282.9,206.0,107.5,368,49,10,46,53.49
294,Coleman,2,19,1,100,7.0,19.3,0.0,2.7,13,42,0,1,0.43
295,Keane,2,2588,29,100,770.4,47.4,299.0,111.7,404,45,7,42,44.52
296,Patterson,2,238,3,100,65.6,6.4,17.0,8.8,67,44,2,2,3.67
297,Dixon,2,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0
298,Welch,2,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0
667,Aznou,2,0,0,100,0.0,0.0,0.0,0.0,0,42,0,0,0.0
705,Campbell,2,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0
316,Robinson,2,1487,17,100,375.0,334.6,82.0,79.3,280,49,4,19,24.12
317,Andersen,2,2882,33,0,790.6,131.0,148.0,107.0,424,44,8,45,44.88
318,Bassey,2,2532,28,100,574.0,152.2,115.0,84.5,392,44,7,40,38.01
319,Castagne,2,1838,20,0,373.0,292.2,195.0,86.2,294,43,3,31,32.66
320,Diop,2,812,8,0,190.8,8.0,31.0,23.0,103,43,1,13,12.42
321,J.Cuenca,2,935,11,0,249.6,47.2,14.0,31.2,155,43,2,11,14.7
322,Tete,2,1791,21,100,416.0,214.1,108.0,73.9,318,45,6,25,25.79
323,Amissah,2,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0
342,Bogle,2,2795,32,100,436.0,346.1,218.0,100.3,311,44,6,44,39.93
343,Struijk,2,2935,33,100,697.4,161.5,272.0,113.1,412,42,7,48,42.92
344,Bijol,2,1888,21,100,531.8,84.5,243.0,86.0,323,39,5,26,31.48
345,Bornauw,2,429,5,100,98.6,6.3,19.0,12.2,73,38,2,5,8.71
346,Byram,2,8,0,0,5.4,0.0,0.0,0.5,1,37,0,1,1.01
347,Gudmundsson,2,2637,31,100,442.6,363.7,158.0,96.4,286,38,5,45,41.06
348,Rodon,2,2952,33,100,707.2,137.3,242.0,109.1,373,39,6,53,48.54
