id,minutes,position,GW,avg_points_5,points,avg_influence_5,avg_creativity_5,bps,clean_sheets_5,goals_conceded_5,tackles_5,defensive_contribution_5
5,90.0,2,6,5.0,13,19.839999999999996,1.72,20.4,3,2,5,35
5,90.0,2,7,6.4,9,30.639999999999997,2.1599999999999997,22.6,2,3,7,47
5,90.0,2,8,7.0,12,32.88,1.9,24.0,2,3,9,56
5,90.0,2,9,9.0,9,36.480000000000004,3.94,29.0,3,2,8,58
5,90.0,2,10,9.0,12,36.32,5.92,29.0,3,2,6,57
5,90.0,2,11,11.0,1,39.6,7.720000000000001,34.2,4,1,6,60
5,90.0,2,12,8.6,0,28.52,10.299999999999999,28.6,4,2,4,46
5,72.0,2,13,6.8,0,23.6,9.899999999999999,22.0,3,2,2,34
5,54.0,2,14,4.4,0,16.919999999999998,7.58,15.4,2,2,2,25
5,36.0,2,15,2.6,0,11.48,5.340000000000001,9.0,1,2,2,16
5,18.0,2,16,0.2,0,4.279999999999999,3.08,1.2,0,2,1,5
5,0.0,2,17,0.0,0,0.0,0.0,0.0,0,0,0,0
5,0.0,2,18,0.0,1,0.0,0.0,0.0,0,0,0,0
5,3.8,2,19,0.2,15,0.0,0.04,0.4,0,0,0,1
5,19.0,2,20,3.2,9,9.559999999999999,0.31999999999999995,8.4,1,0,0,5
5,37.0,2,21,5.0,6,20.639999999999997,0.6199999999999999,11.6,1,2,2,17
5,55.0,2,22,6.2,8,24.999999999999996,2.0799999999999996,16.6,2,2,2,23
5,73.0,2,23,7.8,1,28.919999999999998,2.3999999999999995,22.2,3,2,3,30
5,87.2,2,24,7.8,8,31.6,3.2,22.0,3,5,4,35
5,90.0,2,25,6.4,6,28.76,3.0800000000000005,20.0,3,5,6,44
5,90.0,2,26,5.8,3,21.12,3.12,22.4,4,3,5,39
5,90.0,2,27,5.2,4,25.36,2.9400000000000004,20.2,3,4,9,51
5,90.0,2,28,4.4,2,28.0,5.62,18.8,2,6,8,50
5,90.0,2,29,4.6,9,28.959999999999997,5.14,21.0,2,4,10,50
5,90.0,2,30,4.8,11,23.56,5.1000000000000005,20.4,1,5,12,48
5,90.0,2,31,5.8,9,27.639999999999997,4.82,22.8,1,5,12,58
5,90.0,2,32,7.0,4,23.28,4.140000000000001,26.0,2,4,9,50
5,90.0,2,33,7.0,0,19.919999999999998,1.2599999999999998,24.2,2,4,10,52
5,90.0,2,34,6.6,8,20.8,0.9400000000000001,22.2,2,5,8,53
5,90.0,2,35,6.4,6,24.92,3.72,22.6,3,4,5,51
5,90.0,2,36,5.4,11,22.119999999999997,4.08,20.0,3,4,5,42
5,90.0,2,37,5.8,6,24.0,3.72,20.4,3,4,5,44
5,90.0,2,38,6.2,1,22.16,3.8200000000000003,22.4,4,2,5,40
6,54.8,2,6,3.6,1,14.959999999999999,1.04,14.2,2,1,8,31
6,45.8,2,7,2.0,6,9.76,3.38,10.8,1,1,4,18
6,45.8,2,8,2.0,6,11.719999999999999,3.4,11.4,1,1,4,21
6,63.0,2,9,3.0,1,14.6,3.96,15.8,2,1,4,22
